label,val
metamorphic_Ho_Q1,4.84
metamorphic_Ho_Med,12.41
metamorphic_Ho_Q3,24.61
metamorphic_Lu_Q1,6.59
metamorphic_Lu_Med,29.35
metamorphic_Lu_Q3,49.98
metamorphic_Nd_Q1,0.48
metamorphic_Nd_Med,0.95
metamorphic_Nd_Q3,1.7
metamorphic_Sm_Q1,1.07
metamorphic_Sm_Med,2.36
metamorphic_Sm_Q3,3.72
