label,val
detrital_Sm_Q1,2.06
detrital_Sm_Med,3.36
detrital_Sm_Q3,6.2
detrital_Th_Q1,74.0
detrital_Th_Med,124.26
detrital_Th_Q3,218.0
detrital_Tm_Q1,22.4
detrital_Tm_Med,32.8
detrital_Tm_Q3,47.4
detrital_U_Q1,125.0
detrital_U_Med,220.0
detrital_U_Q3,393.0
detrital_Yb_Q1,229.0
detrital_Yb_Med,334.0
detrital_Yb_Q3,484.0
