label,val
detrital_Ce_Q1,7.26
detrital_Ce_Med,13.39
detrital_Ce_Q3,24.9
hydrothermal_Ce_Q1,15.7
hydrothermal_Ce_Med,43.0
hydrothermal_Ce_Q3,120.0
magmatic_Ce_Q1,6.83
magmatic_Ce_Med,17.01
magmatic_Ce_Q3,30.84
metamorphic_Ce_Q1,1.58
metamorphic_Ce_Med,4.21
metamorphic_Ce_Q3,14.97
