class,elem,N,GSD
detrital,Lu,3425,2.0219
detrital,Nd,3373,3.6491
detrital,Sm,3408,2.6138
detrital,Th,3420,2.5028
detrital,Tm,3425,2.0077
detrital,U,3433,2.3534
detrital,Yb,3425,2.0052
hydrothermal,Lu,536,2.5123
hydrothermal,Nd,536,7.9461
hydrothermal,Sm,536,5.3778
hydrothermal,Th,534,5.5377
hydrothermal,Tm,529,2.6424
hydrothermal,U,534,4.567
hydrothermal,Yb,536,2.8179
magmatic,Lu,2517,2.8173
magmatic,Nd,2504,3.5183
magmatic,Sm,2511,2.4855
magmatic,Th,2517,3.7979
magmatic,Tm,2499,2.5403
magmatic,U,2517,3.4623
magmatic,Yb,2517,2.7127
metamorphic,Lu,380,4.4903
metamorphic,Nd,368,4.7636
metamorphic,Sm,375,4.1815
metamorphic,Th,379,3.825
metamorphic,Tm,340,3.9424
metamorphic,U,380,3.7455
metamorphic,Yb,380,4.1615
