label,val
hydrothermal_Th_Q1,187.0
hydrothermal_Th_Med,795.0
hydrothermal_Th_Q3,2582.0
hydrothermal_Tm_Q1,43.0
hydrothermal_Tm_Med,89.7
hydrothermal_Tm_Q3,172.0
hydrothermal_U_Q1,448.0
hydrothermal_U_Med,1200.0
hydrothermal_U_Q3,4392.0
hydrothermal_Yb_Q1,401.0
hydrothermal_Yb_Med,817.1
hydrothermal_Yb_Q3,1658.0
