class,Ce,Dy,Er,Eu,Gd,Ho,Lu,Nd,Sm,Th,Tm,U,Yb
magmatic,22.18,64.4,116.7,1.0,11.14,21.88,75.7,0.73,5.62,179.0,33.8,599.0,328.0
magmatic,27.1,106.1,164.0,1.5,15.9,31.6,100.3,1.34,11.0,175.0,46.4,627.0,447.0
magmatic,23.6,91.4,211.6,2.12,24.3,41.9,130.9,2.06,8.17,206.0,58.9,628.0,530.0
magmatic,32.2,82.6,131.2,1.03,11.51,24.8,78.7,0.78,7.7,229.0,36.5,672.0,359.0
magmatic,22.6,79.6,157.5,1.02,12.8,29.9,101.4,0.62,4.98,182.0,44.6,711.0,429.0
magmatic,20.7,194.8,289.0,0.77,34.7,61.4,117.6,7.3,22.1,135.3,73.1,759.0,590.0
magmatic,30.3,83.1,178.3,1.51,17.9,34.9,105.9,0.93,5.88,341.0,48.0,891.0,437.0
magmatic,38.4,109.7,251.7,2.55,29.8,47.7,143.0,2.16,9.41,487.0,66.2,937.0,580.0
magmatic,31.9,130.7,265.0,1.8,21.37,51.6,158.0,1.16,7.8,256.0,74.2,1069.0,670.0
magmatic,41.6,120.5,207.0,2.11,23.63,42.6,113.9,1.47,11.03,483.0,56.3,1157.0,515.0
magmatic,23.8,101.0,192.2,1.93,17.9,36.1,123.4,1.09,8.03,229.0,54.4,1180.0,519.0
magmatic,27.5,119.5,271.7,1.98,18.2,49.3,192.4,0.79,6.75,259.0,80.3,1193.0,775.0
magmatic,10.08,139.3,242.2,0.83,26.03,53.0,96.9,2.68,11.6,72.0,57.5,162.5,461.0
magmatic,10.11,191.8,322.0,1.25,36.4,71.1,130.6,2.63,15.17,86.7,76.4,195.0,612.0
magmatic,13.44,188.0,336.0,1.05,36.6,72.1,134.4,2.84,14.48,137.1,77.6,272.0,625.0
magmatic,17.7,296.0,503.0,2.18,67.9,115.3,169.3,6.14,28.3,155.0,113.6,309.0,877.0
magmatic,26.5,177.0,319.0,1.01,37.9,69.6,129.3,6.9,14.6,212.0,73.9,354.0,598.0
magmatic,8.33,26.15,49.1,0.29,5.91,10.04,22.32,0.49,2.61,35.3,12.21,79.5,117.9
magmatic,8.59,26.69,52.8,0.29,5.57,10.09,22.93,0.48,2.56,36.5,12.47,83.8,123.1
magmatic,10.16,35.1,58.9,0.41,8.7,13.7,32.4,0.82,3.7,43.8,15.4,96.8,149.0
magmatic,11.0,31.2,60.6,0.27,6.64,12.23,28.7,0.48,2.81,52.0,14.94,127.3,147.3
magmatic,13.77,60.2,120.9,0.87,13.43,21.41,38.4,1.26,7.12,102.3,26.11,137.0,198.1
magmatic,11.46,36.0,72.8,0.32,6.9,13.71,31.3,0.54,3.1,60.9,17.83,139.8,163.8
magmatic,12.34,59.7,112.9,0.56,12.09,22.7,50.5,0.82,5.13,69.1,28.1,142.9,235.6
magmatic,10.57,31.4,64.3,0.26,6.28,12.34,31.5,0.47,2.59,48.5,16.36,145.6,160.1
magmatic,13.92,71.3,134.5,0.76,15.82,26.8,55.8,1.16,6.69,94.1,31.5,149.5,252.8
magmatic,13.64,84.0,132.9,1.43,24.73,29.6,49.9,4.21,15.55,102.0,30.67,153.7,249.6
magmatic,16.93,71.0,122.2,0.68,16.63,27.04,61.9,1.04,6.45,106.0,31.0,205.6,264.9
magmatic,14.14,60.2,121.1,0.5,11.72,23.56,56.5,0.82,4.95,87.3,30.4,210.0,266.0
magmatic,15.3,47.5,96.7,0.47,9.79,17.8,36.5,0.81,4.83,110.0,22.4,211.0,198.0
magmatic,17.19,84.9,162.1,0.8,17.73,31.9,69.4,1.07,7.25,125.2,38.9,217.0,295.0
magmatic,18.86,117.7,206.5,1.41,27.43,42.3,81.5,1.94,12.25,169.0,47.9,221.0,328.0
magmatic,18.08,88.0,147.1,1.08,22.93,31.3,55.1,2.25,12.34,156.8,33.8,249.0,284.0
magmatic,17.12,52.9,101.1,0.42,10.88,20.77,47.7,0.68,4.52,120.4,25.22,255.0,231.4
magmatic,20.59,101.2,180.5,0.78,22.27,39.0,94.2,1.15,8.33,164.5,45.9,290.0,376.0
magmatic,21.54,99.5,165.1,0.89,23.11,38.4,86.1,1.22,8.59,169.0,43.8,294.0,335.6
magmatic,26.5,258.8,410.0,2.37,63.1,95.6,175.0,2.58,21.8,331.0,98.7,390.0,653.0
magmatic,4.39,19.41,31.7,0.52,5.1,7.03,14.38,0.44,2.13,11.29,7.52,80.4,91.3
magmatic,6.5,42.2,69.8,1.04,10.1,15.4,32.4,0.66,4.12,38.0,17.3,161.0,169.0
magmatic,5.77,20.2,36.5,0.52,5.33,7.17,17.4,0.41,2.25,43.8,8.46,162.0,102.2
magmatic,8.56,33.3,53.7,0.94,8.84,12.19,23.86,0.6,3.81,74.7,12.61,246.3,132.8
magmatic,28.9,174.8,227.0,7.39,62.4,56.3,71.3,4.46,28.3,90.5,46.6,283.0,367.0
magmatic,5.82,42.7,82.1,0.7,9.34,16.3,36.7,0.55,3.45,64.7,19.3,314.0,189.4
magmatic,10.7,29.3,53.8,0.95,8.02,10.51,30.1,0.94,4.17,54.3,13.88,339.0,151.1
magmatic,9.9,50.1,95.7,1.0,11.45,18.6,49.8,0.73,4.37,110.0,24.2,373.0,242.3
magmatic,30.84,108.0,156.0,3.38,33.9,36.8,56.6,3.55,16.99,255.0,34.2,508.0,289.0
magmatic,19.6,134.0,207.0,2.55,31.2,48.3,75.2,2.34,10.9,175.0,45.6,549.0,363.0
magmatic,18.37,78.0,188.7,0.65,14.63,32.7,97.3,0.98,5.36,297.0,47.4,562.0,443.0
magmatic,18.58,79.8,144.4,2.05,19.67,29.75,61.9,1.03,7.82,242.4,33.9,695.0,296.8
magmatic,4.77,47.3,78.7,0.72,12.75,16.72,33.1,1.03,6.12,175.0,18.68,786.0,173.6
magmatic,12.19,69.5,140.7,1.24,14.54,27.0,66.2,0.72,5.25,234.0,33.6,881.0,317.0
magmatic,12.18,69.7,150.8,1.18,13.79,27.77,74.5,0.7,4.8,149.0,36.7,911.0,344.0
magmatic,9.98,86.8,178.5,1.25,14.37,35.4,84.3,0.4,4.07,190.0,44.8,1042.0,399.0
magmatic,21.31,88.6,159.6,2.01,21.73,32.27,65.9,0.92,8.03,405.0,37.0,1047.0,321.5
magmatic,7.89,97.3,167.8,1.17,24.15,36.3,66.1,1.65,9.53,266.0,38.1,1372.0,334.0
magmatic,2.68,9.49,14.84,0.31,2.81,3.41,7.69,0.28,1.33,4.52,3.55,18.63,54.4
magmatic,3.26,9.19,15.24,0.27,2.41,3.34,8.35,0.25,1.15,6.06,3.82,25.07,56.4
magmatic,4.02,22.3,30.8,0.91,7.55,7.28,14.22,0.83,4.25,9.19,7.13,25.21,81.3
magmatic,3.89,20.9,32.4,0.71,6.19,7.51,16.9,0.84,3.23,8.7,7.94,29.1,88.9
magmatic,3.82,18.37,30.5,0.55,5.04,6.85,16.19,0.53,2.47,7.47,7.49,29.2,86.9
magmatic,3.66,14.09,22.0,0.51,4.34,4.98,11.84,0.64,2.43,7.75,5.28,29.6,69.7
magmatic,5.3,34.1,45.8,1.68,12.67,11.6,20.08,2.12,8.62,15.87,10.47,38.4,107.4
magmatic,5.06,26.2,46.6,0.76,6.82,10.28,26.4,0.77,3.58,11.22,11.83,44.0,125.5
magmatic,5.96,32.4,44.9,1.37,10.9,10.96,21.0,2.14,6.77,18.0,10.59,45.5,109.9
magmatic,5.24,27.1,48.5,0.78,6.85,10.32,28.2,0.71,3.65,11.54,11.87,47.0,131.2
magmatic,5.84,36.8,54.9,1.37,11.69,12.94,26.3,1.83,6.62,18.58,12.79,47.0,131.9
magmatic,5.6,31.2,53.6,0.81,7.71,11.94,28.6,0.82,3.64,14.19,13.17,48.1,134.9
magmatic,5.1,20.41,36.6,0.62,5.38,7.74,20.58,0.67,2.88,12.74,9.19,55.9,105.5
magmatic,6.85,44.0,58.6,1.93,15.7,14.9,25.2,3.01,9.29,31.1,13.18,57.3,130.7
magmatic,6.03,32.5,57.4,0.87,7.62,12.39,33.0,0.81,4.03,14.19,14.68,57.7,151.0
magmatic,6.25,30.3,53.0,0.83,7.66,11.7,27.02,0.92,3.67,17.61,12.92,58.1,134.6
magmatic,3.67,6.95,13.38,0.16,1.47,2.73,9.44,0.11,0.55,9.62,3.84,62.6,69.4
magmatic,7.68,48.9,71.6,1.94,16.11,17.17,33.2,2.95,9.68,26.2,16.79,67.8,161.7
magmatic,7.35,41.8,75.9,0.95,8.88,16.62,40.0,1.01,4.46,19.6,18.53,70.4,181.6
magmatic,16.7,99.7,137.4,2.79,28.9,34.3,53.6,3.17,12.08,93.9,30.5,154.1,269.7
magmatic,7.99,42.6,76.1,0.43,9.2,16.1,32.9,0.8,3.98,23.2,18.4,54.5,174.0
magmatic,6.58,20.31,40.6,0.19,3.79,7.96,23.13,0.3,1.53,18.37,11.12,56.7,129.1
magmatic,7.8,32.58,61.8,0.33,6.26,12.74,33.0,0.49,2.77,22.9,16.28,64.9,163.7
magmatic,9.71,66.0,106.0,0.95,17.3,24.2,40.9,1.98,9.4,38.6,24.5,70.0,209.0
magmatic,8.5,48.5,87.4,0.59,11.69,18.8,41.7,1.07,5.82,27.41,21.49,71.3,195.6
magmatic,7.4,25.4,54.6,0.26,4.79,10.29,32.7,0.4,1.96,28.37,15.15,88.5,169.3
magmatic,11.63,91.7,141.1,1.5,26.19,32.9,52.0,3.53,15.65,54.7,32.5,88.7,263.5
magmatic,12.66,101.3,153.1,1.56,28.5,35.2,54.2,3.46,15.74,58.7,34.6,88.9,282.3
magmatic,9.98,37.5,68.7,0.51,8.8,14.28,34.3,0.83,4.34,40.0,17.9,90.5,174.3
magmatic,12.32,99.0,154.3,1.63,28.2,35.1,54.6,4.18,16.52,58.3,35.6,91.8,288.1
magmatic,11.93,81.5,131.4,1.26,22.0,30.3,52.1,2.63,11.9,57.6,31.0,98.9,259.0
magmatic,11.56,90.7,157.0,1.14,23.1,34.2,59.0,2.58,11.4,69.0,35.6,102.0,299.0
magmatic,8.37,32.4,67.1,0.33,6.11,12.91,40.9,0.51,2.51,34.0,18.7,103.2,198.5
magmatic,8.75,31.2,62.8,0.37,6.38,11.94,34.9,0.47,2.63,46.2,16.67,104.1,181.7
magmatic,11.79,100.0,159.0,1.39,25.5,37.4,59.0,3.28,14.0,73.0,37.2,108.0,293.0
magmatic,14.78,112.0,180.2,1.84,31.26,41.4,65.5,6.05,19.34,77.1,40.7,116.6,337.8
magmatic,12.85,110.9,177.6,1.63,28.81,40.9,68.2,4.38,17.44,72.8,40.6,118.5,331.0
magmatic,13.37,85.5,141.7,1.45,23.54,29.94,61.1,3.33,13.76,80.4,34.5,136.2,301.8
magmatic,8.66,18.9,39.4,0.26,3.76,7.6,26.5,0.31,1.64,48.8,11.28,141.4,133.4
magmatic,9.87,15.58,34.9,0.3,2.89,6.57,27.2,0.25,1.22,84.7,10.37,284.0,133.6
magmatic,8.0,64.6,134.0,0.42,13.06,24.94,53.1,0.91,4.78,54.0,30.45,129.0,262.7
magmatic,8.69,136.0,206.0,1.39,34.1,48.4,76.8,2.85,16.0,74.2,47.6,154.1,354.0
magmatic,10.44,54.5,104.2,0.34,9.92,21.62,46.9,0.69,3.54,73.8,25.75,259.0,225.4
magmatic,8.74,27.4,65.1,0.18,4.58,11.74,37.8,0.44,1.69,81.6,17.9,322.0,181.1
magmatic,9.86,65.9,128.5,0.48,11.85,26.2,67.9,0.79,4.41,81.9,34.0,332.0,299.0
magmatic,18.0,54.5,117.9,0.36,10.75,22.7,55.4,4.5,5.29,135.2,30.1,354.1,268.8
magmatic,10.99,59.4,109.8,0.5,12.07,23.5,54.9,0.66,4.38,136.8,28.52,374.1,248.8
magmatic,13.5,58.7,101.8,0.6,12.74,22.2,59.0,1.44,4.86,171.6,28.4,478.0,257.0
magmatic,14.73,73.6,153.7,0.56,12.93,31.2,81.9,1.23,5.05,169.9,40.9,551.0,352.0
magmatic,13.0,51.8,101.4,0.48,9.5,20.62,60.5,0.99,3.74,200.0,27.5,630.0,265.0
magmatic,17.9,40.9,98.2,0.43,7.21,17.6,58.7,2.99,3.39,227.3,26.7,651.0,252.7
magmatic,12.7,69.1,121.5,0.68,13.64,26.4,71.6,0.7,4.9,292.0,33.4,707.0,302.0
magmatic,18.6,60.3,146.8,0.51,9.71,27.1,89.8,1.8,3.84,204.7,40.0,713.0,368.0
magmatic,18.11,50.0,120.9,0.49,8.75,21.08,70.0,0.84,3.28,357.0,33.5,882.0,315.0
magmatic,17.82,67.5,164.4,0.58,11.25,30.1,93.7,1.11,4.22,329.0,44.3,914.0,394.0
magmatic,21.0,58.0,124.3,0.37,10.28,24.1,67.0,0.92,3.9,338.0,32.2,921.0,295.0
magmatic,16.43,45.4,109.5,0.47,8.17,18.97,59.9,0.74,3.07,397.0,28.4,922.0,273.4
magmatic,4.44,29.0,56.5,0.45,5.98,11.51,32.3,0.41,2.41,14.6,14.9,48.0,148.7
magmatic,3.71,20.7,41.4,0.35,4.43,8.27,26.0,0.31,1.77,13.21,11.2,52.5,123.0
magmatic,4.59,32.3,63.9,0.52,6.49,12.82,41.2,0.44,2.69,16.8,17.5,63.8,179.0
magmatic,5.3,52.2,87.4,1.34,14.76,19.1,41.7,1.62,7.73,29.2,20.7,66.3,193.6
magmatic,5.04,35.2,71.1,0.56,7.32,13.74,43.3,0.49,3.0,20.22,18.5,70.4,186.7
magmatic,5.05,34.4,71.3,0.58,7.57,13.95,46.7,0.52,3.13,19.45,19.48,72.8,196.4
magmatic,4.92,43.6,81.0,0.93,10.58,16.6,43.9,1.08,5.08,28.0,20.2,74.8,189.5
magmatic,4.68,27.0,53.4,0.42,5.52,10.58,36.0,0.36,2.15,20.9,14.72,83.7,161.3
magmatic,4.9,29.6,62.9,0.48,6.21,12.17,42.5,0.39,2.49,21.64,17.42,85.3,180.0
magmatic,5.7,41.2,84.1,0.65,8.48,16.32,52.6,0.63,3.6,25.6,22.9,91.4,225.0
magmatic,5.2,35.3,72.9,0.55,6.72,14.2,47.0,0.48,2.75,27.3,19.2,94.4,195.0
magmatic,7.32,54.2,113.0,0.82,10.87,22.7,65.8,0.8,4.53,31.4,29.3,99.6,270.0
magmatic,5.05,30.0,60.3,0.45,5.86,11.97,43.3,0.33,2.3,24.47,17.0,100.3,182.8
magmatic,6.94,54.4,109.9,0.95,11.58,22.1,61.0,1.03,5.29,35.0,28.6,103.5,260.7
magmatic,6.81,50.1,104.9,0.76,9.74,20.7,64.8,0.73,4.2,35.0,27.9,113.9,268.0
magmatic,6.44,26.6,58.2,0.36,4.85,10.83,43.3,0.26,1.72,31.3,16.7,140.0,188.0
magmatic,9.18,71.1,149.1,1.02,12.73,30.1,84.3,0.98,5.24,49.9,38.2,143.3,343.0
magmatic,5.95,26.9,57.2,0.36,4.89,10.84,43.9,0.28,1.78,31.6,16.1,154.0,183.2
magmatic,4.99,60.2,141.3,0.52,10.13,25.2,91.6,0.53,3.55,48.0,38.9,153.1,366.0
magmatic,7.7,63.8,143.0,0.5,9.77,28.0,92.4,0.45,3.08,47.6,39.4,171.0,389.0
magmatic,7.51,67.9,152.3,0.55,10.36,30.0,99.8,0.5,3.22,49.7,43.3,174.6,413.0
magmatic,7.75,62.0,135.9,0.54,10.29,25.96,86.6,0.5,3.37,60.9,36.9,176.0,367.0
magmatic,6.12,48.3,108.9,0.44,8.07,20.24,66.5,0.48,2.61,60.3,29.65,185.8,282.2
magmatic,9.46,90.4,200.7,0.81,14.05,39.7,123.3,0.65,4.36,70.2,53.6,204.4,511.0
magmatic,7.81,55.3,116.9,0.52,9.28,23.3,70.9,0.67,3.09,86.6,31.7,209.9,308.8
magmatic,8.85,63.9,143.8,0.59,10.31,28.34,93.9,0.55,3.23,88.0,39.2,211.9,378.0
magmatic,9.12,129.4,252.0,2.04,28.5,50.0,138.6,3.22,12.86,116.8,65.1,237.6,574.0
magmatic,8.85,61.0,135.6,0.5,9.87,26.93,84.8,0.49,3.09,97.1,36.5,242.0,347.9
magmatic,10.21,62.1,130.9,0.64,11.17,26.64,78.3,1.62,4.64,119.1,34.8,250.1,331.0
magmatic,9.76,62.3,126.7,0.61,10.73,26.5,75.9,0.53,3.39,150.4,33.6,288.0,318.0
magmatic,12.37,90.9,196.0,0.65,14.22,38.6,120.5,0.62,4.21,90.3,54.4,306.0,512.0
magmatic,9.83,62.5,127.4,0.51,10.78,25.18,74.1,0.52,3.19,184.0,33.9,347.0,311.3
magmatic,14.44,117.9,278.0,0.72,16.93,51.9,162.9,0.79,5.52,123.1,73.7,356.0,679.0
magmatic,30.5,147.5,299.0,1.31,28.2,58.9,151.2,2.05,11.09,565.0,74.5,760.0,669.0
magmatic,2.36,19.5,43.5,0.16,3.13,8.11,27.9,0.24,1.39,10.2,11.78,36.2,136.7
magmatic,2.62,47.7,101.8,0.42,7.65,19.01,67.0,0.36,2.55,9.77,28.27,52.6,288.0
magmatic,3.82,64.9,129.0,0.6,12.1,25.9,73.1,0.75,4.69,15.1,33.4,65.1,332.0
magmatic,4.56,44.8,94.4,0.35,7.36,18.9,57.1,1.08,3.84,16.6,25.4,68.0,266.0
magmatic,4.11,55.1,117.0,0.44,8.83,22.77,71.3,0.55,3.62,19.29,31.2,79.6,311.9
magmatic,4.21,80.6,151.8,1.0,16.6,31.3,84.7,1.37,7.55,23.59,39.9,80.5,375.0
magmatic,4.42,67.4,139.7,0.48,10.83,27.6,82.4,0.75,4.29,18.8,36.7,85.0,362.0
magmatic,6.67,70.1,147.3,0.44,11.03,30.17,90.3,0.65,4.41,28.51,39.8,116.4,396.0
magmatic,6.3,108.5,228.1,0.94,18.1,44.0,134.1,0.84,5.3,30.72,62.1,118.1,554.0
magmatic,7.38,111.3,234.1,0.94,16.87,46.1,133.9,0.97,6.18,34.9,60.8,126.9,589.0
magmatic,7.32,96.4,230.0,0.77,13.99,42.0,155.3,0.68,4.23,29.3,66.1,135.9,622.0
magmatic,8.41,124.7,269.6,0.95,17.64,54.0,157.1,0.9,5.67,39.7,73.4,150.3,686.0
magmatic,9.97,88.6,185.0,0.56,14.54,36.1,104.9,2.1,5.14,49.9,50.1,158.7,460.0
magmatic,11.23,110.9,213.8,0.54,18.43,43.3,113.4,0.9,5.19,65.5,57.2,204.2,509.0
magmatic,2.68,9.49,14.83,0.31,2.81,3.41,7.69,0.28,1.53,4.51,3.55,18.63,54.4
magmatic,3.26,9.19,15.23,0.27,2.41,3.34,8.35,0.25,1.25,6.06,3.82,25.07,56.4
magmatic,4.02,22.3,30.9,0.91,7.56,7.28,14.22,0.83,4.22,9.19,7.13,25.21,81.3
magmatic,3.89,20.9,32.4,0.72,6.19,7.51,16.9,0.84,3.68,8.7,7.94,29.1,88.9
magmatic,3.82,18.37,30.5,0.55,5.05,6.85,16.19,0.53,2.83,7.46,7.49,29.2,86.9
magmatic,3.66,14.09,22.0,0.51,4.35,4.98,11.84,0.64,2.82,7.74,5.28,29.6,69.7
magmatic,5.3,34.1,45.9,1.69,12.67,11.6,20.08,2.13,8.36,15.87,10.47,38.4,107.4
magmatic,5.05,26.2,46.6,0.76,6.82,10.28,26.4,0.77,3.78,11.22,11.83,44.0,125.5
magmatic,5.96,32.4,44.9,1.37,11.0,10.96,21.0,2.14,7.8,18.0,10.59,45.5,109.9
magmatic,5.24,27.1,48.6,0.78,6.85,10.32,28.2,0.71,3.6,11.54,11.87,47.0,131.2
magmatic,5.84,36.8,54.9,1.37,11.7,12.94,26.3,1.83,7.47,18.57,12.79,47.0,131.9
magmatic,5.6,31.2,53.6,0.82,7.72,11.94,28.6,0.82,3.94,14.19,13.17,48.1,134.9
magmatic,5.1,20.41,36.6,0.62,5.4,7.74,20.58,0.67,3.32,12.73,9.19,55.9,105.5
magmatic,6.85,44.0,58.7,1.93,15.8,14.9,25.2,3.01,10.89,31.1,13.18,57.3,130.7
magmatic,6.03,32.5,57.4,0.87,7.62,12.39,33.0,0.82,3.9,14.19,14.68,57.7,151.0
magmatic,6.25,30.3,53.1,0.83,7.68,11.7,27.02,0.92,4.3,17.61,12.92,58.1,134.6
magmatic,3.67,6.95,13.37,0.16,1.47,2.73,9.44,0.11,0.59,9.62,3.84,62.6,69.4
magmatic,7.68,48.9,71.6,1.94,16.12,17.17,33.2,2.95,10.57,26.2,16.79,67.8,161.7
magmatic,7.35,41.8,76.0,0.95,8.89,16.62,40.0,1.01,4.65,19.6,18.53,70.4,181.6
magmatic,16.7,99.7,137.5,2.79,29.0,34.3,53.6,3.17,14.11,94.0,30.5,154.1,269.7
magmatic,4.99,60.2,140.9,0.52,10.17,25.2,91.6,0.54,3.17,48.0,38.9,153.1,366.0
magmatic,7.7,63.8,142.0,0.5,9.78,28.0,92.4,0.46,3.12,47.6,39.4,171.0,389.0
magmatic,7.51,67.9,152.0,0.55,10.39,30.0,99.8,0.51,3.25,49.7,43.3,174.6,413.0
magmatic,7.75,62.0,135.6,0.55,10.31,25.96,86.6,0.51,3.41,60.9,36.9,176.0,367.0
magmatic,6.12,48.3,108.6,0.45,8.12,20.24,66.5,0.48,2.57,60.3,29.65,185.8,282.2
magmatic,9.46,90.4,200.3,0.81,14.05,39.7,123.3,0.66,4.49,70.2,53.6,204.4,511.0
magmatic,7.81,55.3,116.6,0.52,9.32,23.3,70.9,0.68,3.12,86.6,31.7,209.9,308.8
magmatic,8.85,63.9,143.5,0.59,10.31,28.34,93.9,0.56,3.41,88.0,39.2,211.9,378.0
magmatic,12.6,139.0,264.0,1.9,30.2,54.0,152.0,4.3,12.7,100.0,69.7,231.0,612.0
magmatic,9.12,129.4,251.0,2.05,28.7,50.0,138.6,3.25,11.79,116.7,65.1,237.6,574.0
magmatic,8.85,61.0,135.3,0.5,9.87,26.93,84.8,0.49,3.2,97.1,36.5,242.0,347.9
magmatic,10.21,62.2,130.6,0.65,11.17,26.64,78.3,1.65,4.86,119.1,34.8,250.1,331.0
magmatic,9.76,62.3,126.4,0.61,10.72,26.5,75.9,0.54,3.62,150.4,33.6,288.0,318.0
magmatic,12.37,90.9,196.0,0.65,14.26,38.6,120.5,0.62,4.25,90.3,54.4,306.0,512.0
magmatic,9.83,62.5,127.0,0.51,10.84,25.18,74.1,0.52,3.2,183.9,33.9,347.0,311.3
magmatic,14.44,117.9,277.0,0.72,16.97,51.9,162.9,0.8,4.68,123.0,73.7,356.0,679.0
magmatic,30.5,147.5,298.0,1.32,28.3,58.9,151.2,2.07,9.59,564.0,74.5,760.0,669.0
magmatic,5.42,80.4,140.1,0.66,18.17,30.4,54.1,1.65,8.08,29.6,31.8,79.2,263.0
magmatic,6.71,74.6,137.1,0.43,14.72,29.81,58.3,0.83,5.58,31.7,32.7,94.1,274.1
magmatic,5.91,69.7,124.4,0.48,14.64,27.3,52.3,1.41,6.27,31.3,29.2,97.8,249.7
magmatic,5.7,88.7,166.1,0.51,17.18,35.7,68.8,1.05,6.54,40.6,39.5,129.5,326.0
magmatic,7.23,75.7,139.3,0.45,15.19,29.5,57.2,1.01,5.89,49.1,33.2,144.7,279.0
magmatic,8.89,76.3,141.7,0.52,16.59,30.9,57.6,2.36,7.06,48.2,33.0,146.6,277.7
magmatic,7.06,77.7,148.5,0.42,15.4,31.4,63.0,1.01,5.87,47.2,35.7,151.9,301.0
magmatic,7.1,65.3,122.6,0.42,13.45,25.8,52.2,0.88,5.26,52.0,29.3,167.0,256.0
magmatic,8.61,69.2,131.3,0.34,13.37,26.9,53.6,0.76,4.94,52.8,30.8,167.0,264.7
magmatic,9.11,107.7,198.8,0.68,23.5,42.8,80.9,2.08,9.84,74.1,47.3,200.9,374.0
magmatic,9.5,88.6,163.0,0.56,18.3,34.5,69.2,1.87,7.77,70.0,38.8,205.0,337.0
magmatic,9.64,88.2,168.4,0.46,16.57,35.2,73.5,1.02,6.46,69.2,40.9,244.0,352.0
magmatic,4.79,42.1,92.7,0.56,8.12,17.68,59.2,0.55,3.19,9.75,25.02,33.57,254.0
magmatic,4.3,31.6,67.1,0.37,5.54,13.18,42.8,0.4,2.3,11.7,17.69,36.5,197.0
magmatic,3.59,36.6,89.6,0.57,6.17,15.45,66.1,0.46,2.4,10.23,26.0,37.8,255.0
magmatic,4.58,38.6,86.6,0.59,7.22,17.0,63.0,0.62,3.16,10.2,25.0,38.7,261.0
magmatic,11.2,73.3,132.5,1.11,15.9,29.6,69.7,3.87,8.54,23.7,33.8,49.9,327.0
magmatic,5.84,75.7,146.8,1.2,15.7,31.2,80.6,1.36,6.66,23.1,37.5,52.9,347.0
magmatic,8.7,53.2,112.4,0.57,9.55,22.88,66.7,1.77,4.32,20.2,29.6,53.0,298.6
magmatic,7.34,50.4,105.5,0.52,8.45,21.7,60.9,0.61,3.37,22.2,27.7,53.3,276.0
magmatic,7.01,44.5,101.5,0.4,7.11,18.4,61.9,0.38,2.27,21.14,26.8,54.6,255.0
magmatic,7.76,62.3,134.3,0.67,10.09,27.2,77.4,0.73,4.22,23.22,35.1,58.1,349.0
magmatic,7.77,67.6,161.4,0.7,10.9,27.9,104.6,0.65,3.84,22.98,43.2,68.1,406.0
magmatic,7.85,63.9,150.4,0.58,9.82,26.4,93.7,0.55,3.19,23.79,41.1,70.0,373.0
magmatic,8.6,78.5,178.8,0.81,13.3,33.7,108.7,0.87,4.57,26.6,48.1,75.4,432.0
magmatic,6.49,53.2,126.4,0.62,9.24,23.49,82.9,0.55,3.15,17.14,35.0,100.6,330.0
magmatic,5.4,34.5,85.1,0.32,5.17,14.62,63.4,0.34,1.83,48.3,24.2,162.2,251.0
magmatic,17.28,139.1,293.0,1.61,23.66,60.1,165.8,1.23,7.23,173.1,75.2,362.0,684.0
magmatic,27.8,146.0,373.0,0.61,19.1,66.0,245.0,0.87,5.19,249.0,103.0,730.0,850.0
magmatic,4.79,42.1,92.6,0.56,8.14,17.68,59.2,0.55,3.39,9.76,25.02,33.57,254.0
magmatic,4.3,31.6,67.0,0.37,5.55,13.18,42.8,0.4,1.99,11.71,17.69,36.5,197.0
magmatic,3.59,36.6,89.5,0.57,6.18,15.45,66.1,0.46,2.55,10.25,26.0,37.8,255.0
magmatic,4.58,38.6,86.5,0.59,7.24,17.0,63.0,0.62,3.16,10.22,25.0,38.7,261.0
magmatic,11.2,73.3,132.2,1.11,16.0,29.6,69.7,3.9,7.96,23.7,33.8,49.9,327.0
magmatic,5.84,75.7,146.6,1.2,15.8,31.2,80.6,1.37,6.85,23.1,37.5,52.9,347.0
magmatic,8.7,53.2,112.2,0.57,9.59,22.88,66.7,1.78,3.94,20.2,29.6,53.0,298.6
magmatic,7.34,50.4,105.3,0.52,8.49,21.7,60.9,0.61,3.02,22.2,27.7,53.3,276.0
magmatic,7.01,44.5,101.3,0.4,7.13,18.4,61.9,0.38,2.55,21.14,26.8,54.6,255.0
magmatic,6.85,44.0,58.6,1.93,15.7,14.9,25.2,3.01,9.29,31.1,13.18,57.3,130.7
magmatic,6.25,30.3,53.0,0.83,7.66,11.7,27.02,0.92,3.67,17.61,12.92,58.1,134.6
magmatic,7.76,62.3,134.1,0.67,10.13,27.2,77.4,0.73,3.7,23.23,35.1,58.1,349.0
magmatic,7.77,67.6,161.1,0.7,10.92,27.9,104.6,0.65,4.23,22.98,43.2,68.1,406.0
magmatic,7.85,63.9,150.1,0.58,9.84,26.4,93.7,0.55,3.56,23.8,41.1,70.0,373.0
magmatic,8.6,78.5,178.4,0.81,13.33,33.7,108.7,0.87,5.35,26.6,48.1,75.4,432.0
magmatic,6.49,53.2,126.1,0.62,9.26,23.49,82.9,0.55,3.62,17.15,35.0,100.6,330.0
magmatic,16.7,99.7,137.4,2.79,28.9,34.3,53.6,3.17,12.08,93.9,30.5,154.1,269.7
magmatic,5.4,34.5,85.0,0.32,5.18,14.62,63.4,0.34,1.97,48.3,24.2,162.2,251.0
