label,val
detrital_Dy_Q1,58.1
detrital_Dy_Med,86.5
detrital_Dy_Q3,131.0
detrital_Er_Q1,104.0
detrital_Er_Med,155.0
detrital_Er_Q3,227.0
detrital_Eu_Q1,0.28
detrital_Eu_Med,0.5
detrital_Eu_Q3,1.08
