label,val
metamorphic_Dy_Q1,17.96
metamorphic_Dy_Med,34.61
metamorphic_Dy_Q3,65.02
metamorphic_Er_Q1,17.4
metamorphic_Er_Med,59.24
metamorphic_Er_Q3,114.0
metamorphic_Eu_Q1,0.17
metamorphic_Eu_Med,0.36
metamorphic_Eu_Q3,0.79
metamorphic_Gd_Q1,6.99
metamorphic_Gd_Med,13.23
metamorphic_Gd_Q3,18.85
