class,Ce,Dy,Er,Eu,Gd,Ho,Lu,Nd,Sm,Th,Tm,U,Yb
magmatic,8.45,31.79,58.36,0.49,5.73,12.14,28.29,0.3,0.85,32.0,14.37,65.0,139.69
magmatic,46.28,66.46,189.8,0.51,14.86,37.68,88.34,0.57,1.69,314.0,46.54,511.0,436.0
magmatic,68.14,90.61,225.64,0.85,21.73,45.38,96.36,0.72,2.46,757.0,53.23,811.0,501.76
magmatic,170.38,303.39,519.85,2.95,70.0,111.31,217.11,2.78,7.38,3497.0,119.34,2127.0,1104.03
magmatic,18.54,41.55,87.39,0.27,7.4,16.25,42.14,0.14,0.81,67.0,21.6,137.0,199.8
magmatic,28.52,154.58,274.86,1.26,33.17,55.84,103.36,1.79,3.78,176.0,59.72,254.0,545.58
magmatic,31.07,28.53,131.72,0.29,9.14,24.36,61.59,0.3,1.12,170.0,32.11,318.0,312.55
magmatic,21.56,80.27,165.26,0.43,12.42,30.24,82.74,0.35,1.2,149.0,39.44,342.0,411.67
magmatic,258.59,288.92,559.33,2.22,79.42,129.96,170.59,3.45,9.5,3823.0,119.03,2025.0,973.49
magmatic,21.13,46.01,120.22,0.34,8.37,22.54,61.2,0.23,0.81,100.0,29.03,221.0,286.61
magmatic,44.89,119.81,260.18,0.93,26.84,51.85,106.8,1.18,2.88,308.0,59.99,458.0,543.83
magmatic,58.74,213.13,419.5,2.03,47.32,84.24,158.33,2.49,5.48,676.0,94.75,714.0,827.91
magmatic,28.5,127.04,280.41,1.58,28.94,56.0,119.38,1.17,2.79,196.0,64.12,260.0,593.8
magmatic,57.84,235.25,441.49,4.88,63.92,92.54,174.16,4.83,8.2,487.0,98.97,478.0,890.14
magmatic,63.95,255.71,576.11,1.4,48.41,109.92,239.0,1.34,4.04,1172.0,134.35,1427.0,1205.73
magmatic,19.79,43.93,108.28,0.3,8.76,20.05,61.0,0.61,0.84,128.0,28.18,286.0,283.82
magmatic,8.88,26.14,53.64,0.38,4.66,9.61,29.13,0.12,0.53,32.0,13.51,67.0,138.13
magmatic,22.56,41.88,90.04,0.24,5.89,16.91,45.73,0.12,0.67,74.0,22.66,168.0,222.26
magmatic,21.4,66.96,124.82,0.63,13.65,25.61,55.02,0.56,1.34,104.0,30.48,183.0,281.33
magmatic,18.55,57.87,92.52,0.41,10.33,19.88,48.09,0.39,0.96,152.0,23.12,204.0,217.47
magmatic,29.78,133.27,231.45,1.29,26.63,47.52,95.74,1.66,3.81,190.0,52.31,246.0,487.51
magmatic,23.33,72.1,182.42,0.55,13.96,32.95,99.63,0.32,1.33,162.0,46.28,311.0,448.79
magmatic,39.45,93.31,202.97,1.07,20.57,41.73,86.36,0.73,2.05,205.0,47.5,318.0,455.54
magmatic,34.54,63.75,128.2,0.43,11.35,25.6,60.05,0.29,1.06,219.0,29.86,365.0,298.97
magmatic,39.67,133.54,234.09,1.23,27.66,49.92,97.7,1.25,3.57,272.0,52.76,366.0,505.82
magmatic,56.44,136.2,274.85,1.33,30.39,54.69,109.71,1.63,3.69,361.0,63.39,424.0,591.74
magmatic,41.54,161.48,382.32,1.88,47.08,80.7,159.62,2.64,5.9,355.0,88.18,464.0,802.06
magmatic,32.38,178.5,330.94,1.23,30.15,61.36,164.18,1.03,2.74,314.0,81.9,488.0,769.8
magmatic,45.15,69.13,160.29,0.55,13.32,31.22,72.08,0.51,1.45,324.0,38.63,503.0,368.7
magmatic,60.37,94.61,277.13,0.69,20.96,53.03,130.41,0.58,1.99,318.0,67.61,546.0,660.97
magmatic,86.62,158.12,301.39,1.17,30.62,58.07,127.02,0.85,3.03,1498.0,69.58,1204.0,660.99
magmatic,14.51,97.31,184.31,0.33,11.49,34.29,85.84,0.19,1.0,90.0,46.04,205.0,425.38
magmatic,25.45,68.35,143.34,0.49,12.97,26.72,63.31,0.34,1.11,164.0,34.94,250.0,316.93
magmatic,45.09,129.82,244.08,1.17,29.6,50.81,104.56,1.82,4.16,335.0,54.04,430.0,528.93
magmatic,61.42,74.07,201.53,0.74,17.47,42.96,92.37,1.16,2.06,257.0,50.04,454.0,450.09
magmatic,18.63,38.0,95.98,0.41,7.67,18.63,55.1,0.58,0.93,96.0,25.58,253.0,258.25
magmatic,27.04,68.54,165.33,0.4,13.52,31.6,85.21,1.03,1.49,148.0,42.28,349.0,391.79
magmatic,24.58,54.06,131.35,0.47,10.47,25.04,71.72,0.73,0.99,158.0,34.44,361.0,331.3
magmatic,19.55,52.05,124.93,0.29,9.94,24.44,61.24,0.23,0.73,103.0,31.69,256.0,297.73
magmatic,21.48,66.77,145.81,0.33,9.3,28.1,71.85,0.24,0.87,127.0,37.29,299.0,347.94
