element,count,mean,min_val,max_val
Ce,7185,35.0819,0.1,5253.0
Dy,7186,133.9863,0.06,3357.0
Er,7186,217.7535,0.1,5445.0
Eu,7146,6.185,0.0,7547.02
Gd,7178,34.5309,-1.3,1089.0
Ho,7186,47.5918,0.04,1146.0
Lu,7186,88.6332,0.29,11481.0
Nd,7117,13.5921,0.0,2229.0
Sm,7160,10.6141,0.0,1060.21
Th,7178,342.5648,0.03,27303.0
Tm,7121,47.0376,0.17,1395.0
U,7192,732.228,0.35,39086.0
Yb,7186,469.7073,1.24,13881.0
